,ISUS11,GOVE11,REVE11,BOVA11
2024-06-04,-0.0007326071621646514,-0.197625697882404,-5.08418498830187e-22,-0.1957372726876636
2024-06-05,-0.14466884508356026,-0.16413153607933204,-4.222502947658234e-22,-0.18968041871256278
2024-06-06,-0.12109375127103243,-0.13738482113576844,-3.5344079880474015e-22,-0.1913620876082868
2024-06-07,-0.10200024718320039,-0.11572261630332661,-2.977118840923651e-22,-0.16118899639875764
2024-06-10,-0.0823252396811209,-0.0934006768296033,-2.4028571391402227e-22,-0.13009696671276927
2024-06-11,-0.06739273208151379,-0.07645925859664385,-1.9670165314485595e-22,-0.17905314480990794
2024-06-12,-0.05577225531729099,-0.06327544766496446,-1.6278453895086102e-22,-0.14817914928309212
2024-06-13,-0.04655178239205908,-0.05281451957970818,-1.358724044943325e-22,-0.12368163118424878
2024-06-14,-0.039122202086221386,-0.044385417741523485,-1.141874143894186e-22,-0.10394226645914806
2024-06-17,-0.031501751293387024,-0.03573976709350431,-9.194532355317666e-23,-0.24926374490076986
2024-06-18,-0.02574197913646238,-0.029205117210615063,-7.513406408925641e-23,-0.349960221054951
2024-06-19,-0.021273875668241803,-0.02413590769852661,-6.209284567481058e-23,-0.2892166989991813
2024-06-20,-0.01773735537782157,-0.02012360976867772,-5.1770673446140766e-23,-0.24113797839887902
2024-06-21,-0.014893363642035907,-0.016897008132908727,-4.34698098562404e-23,-0.24255890703559427
2024-06-23,-0.012292628046823392,-0.013946388544206878,-3.587894693719132e-23,-0.20020235155051788
2024-06-24,-0.010238822109962962,-0.011616278540003487,-2.988442778740332e-23,-0.2001685434165531
2024-06-25,-0.008590191023096671,-0.009745852654186744,-2.5072507418596157e-23,-0.20014140495149998
2024-06-26,-0.007249346702552068,-0.008224620920795083,-2.1158935638452197e-23,-0.28128621800430675
2024-06-27,-0.006147158096547307,-0.006974151900680837,-1.7941937095993182e-23,-0.26892748459209104
2024-06-28,-0.005233192665356028,-0.005937228228150042,-1.5274312477137728e-23,-0.22894308520720283
2024-06-30,-0.004374899810660079,-0.004963466914400745,-1.2769181460978474e-23,-0.19139426429979986
2024-07-01,-0.003681344323703213,-0.123074554680517,-1.0744875476957937e-23,-0.16105241696109002
2024-07-02,-0.0031142309202877787,-0.10411484229249048,-9.089620666431849e-24,-0.13624219105448213
2024-07-03,-0.0026460007132772167,-0.08846098893116684,-7.72297988890801e-24,-0.11575793315779481
